Timespan, 1950-2100
Scenario, fullstop;2025
Used parameters below
f_MP, 0.14
f_shelf, 0.08
f_ocean, 0.92
f_pelagic, 0.92
M_P_discard, 4214.0
M_MP_discard, 686.0000000000001
M_sMP_discard, 576
M_P_SurfOcean, 0.23
M_MP_SurfOcean, 0.036
M_sMP_SurfOcean, 0.0028
M_MPsMP_DeepOcean, 80
M_sMP_atmo, 0.0036
M_sMP_soil, 29
M_MP_beach, 0.52
M_MP_sed, 0.001
M_Incinerated, 800
M_recycled, 750
F_river_tot, 0.72
F_sMP_oce_to_atm, 8.6
F_sMP_atm_to_oce, 7.6
F_sMP_atm_to_soil, 1.15
F_sMP_DiscInuse_to_atm, 0.183
LB19, 0.03
k_SurfOce_P_to_MP, 0.03
k_SurfOce_MP_to_sMP, 0.03
k_beach_P_to_MP, 0.03
k_beach_MP_to_sMP, 0.03
k_DeepOce_MP_to_sMP, 0.03
CF1, 5
k_Disc_P_to_MP, 0.006
k_Disc_MP_to_sMP, 0.006
k_P_surf_to_deep_oce, 0
k_MP_surf_to_deep_oce, 196
k_sMP_surf_to_deep_oce, 32.5
k_P_Disc_to_river, 8.542952064546749e-05
k_MP_Disc_to_river, 0.0005247813411078716
k_sMP_Disc_to_river, 0.0005247813411078716
k_Disc_sMP_to_atm, 0.0003177083333333333
k_SurfOce_P_beach, 0.154
k_SurfOce_MP_beach, 0.154
k_SurfOce_P_CoastSed, 0
k_SurfOce_MP_CoastSed, 196
k_SurfOce_sMP_CoastSed, 32.5
k_sMP_oce_to_atm, 3071.4285714285716
k_sMP_soil_to_atm, 0.0003177083333333333
k_sMP_atm_to_oce, 2111.111111111111
k_sMP_atm_to_soil, 319.4444444444444
k_sMP_soil_to_oce, 0.0005247813411078716
k_P_beached_to_oce, 0
k_MP_beached_to_oce, 0
###############
Data below
,Year,P_prod_tot,P_waste_tot,P_rec_tot,P_inc_tot,P_disc_tot,MP_disc_tot,P_use,P_disc,MP_disc,sMP_disc,P_SurfOce,MP_SurfOce,sMP_SurfOce,MP_DeepOce,sMP_DeepOce,sMP_atm,sMP_soil,P_beach,MP_beach,sMP_beach,MP_sed,sMP_sed
20,1952.0,17.84577993267901,2.6459776180857775,0.0,0.0,2.275540751553766,0.3704368665320076,15.199802314593288,2.2611133964291303,0.3820809983633023,0.002371767155086494,0.00017927566367224512,1.0469499752024665e-06,-3.1082456489442708e-06,0.00018944725847371916,3.961681528325243e-06,3.2965800998523547e-06,1.0846261285848215e-06,1.9169943085481147e-05,4.5658635971578754e-07,6.925883294538718e-09,1.6808822216876214e-05,9.346478953710776e-09
21,1952.1,18.636526113886944,2.7625583125302686,0.0,0.0,2.3758001487760283,0.3867581637542365,15.87396780135673,2.359966690055199,0.3995336625670004,0.002606045591697052,0.00019556734791524374,1.0961319687602888e-06,3.1347781785316244e-08,0.0002081732330964367,4.554134724540987e-06,-2.156850433234145e-08,1.4801080573110863e-06,2.1993850139916646e-05,5.332907542262967e-07,8.408449301830403e-09,1.848901332074961e-05,9.018663683207173e-09
22,1952.2,19.419191532231626,2.87832190112134,0.0,0.0,2.4753568349643484,0.40296506615698674,16.540869631110347,2.458057352346205,0.4169196460347047,0.0028507548072834185,0.00021239548809934893,1.1452160176638176e-06,3.4134122758791007e-07,0.00022772770513384703,5.221188892592534e-06,-3.482130364335832e-07,1.715337598887085e-06,2.506396172335279e-05,6.193469404219415e-07,1.0134978914044115e-08,2.0246240872241405e-05,1.018469527504226e-08
23,1952.3,20.193993003363495,2.993362606243197,0.0,0.0,2.5742918413691416,0.41907076487404604,17.20063039712034,2.5554668538662892,0.4342517460906679,0.0031058577515630094,0.000229744193892472,1.1942339058727603e-06,8.410346368355962e-07,0.0002481067150669531,5.948461559080934e-06,-8.753629849982627e-07,1.9822293454969783e-06,2.8387665870938277e-05,7.154742872837457e-07,1.2134601436041897e-08,2.2080376165935385e-05,1.1378323284903715e-08
24,1952.4,20.961147342939345,3.107774913505153,0.0,0.0,2.6726864256144207,0.43508848789071963,17.853372429434263,2.6522768419210587,0.4515428374708106,0.0033713250786680696,0.0002475985550567392,1.2432177744129456e-06,-5.94849691894597e-08,0.00026930689072690567,6.747387537841035e-06,7.784038715872083e-08,2.180965665513194e-06,3.197209170290218e-05,8.224122393564122e-07,1.443863460085512e-08,2.3991340613933056e-05,1.337923517530374e-08
25,1952.5,21.72087136661019,3.221653571774539,0.0,0.0,2.770622071726093,0.4510315000484336,18.49921779483572,2.748569140478374,0.4688058723827973,0.003647135192955287,0.0002659446250751162,1.292200119034595e-06,-1.193595140432509e-06,0.0002913254519430188,7.613945596722543e-06,1.278041640954412e-06,2.3861956432825106e-06,3.582412514457325e-05,9.409195101329992e-07,1.7080643574030047e-08,2.5979106303856864e-05,1.5623916990149e-08
26,1952.6,22.473381890031323,3.335093593112286,0.0,0.0,2.868180490076557,0.46691310303571887,19.138288296919114,2.844425750005484,0.4860538805524219,0.0039332742948512325,0.00028476940507601964,1.3412137878699487e-06,-1.9057288052501797e-06,0.00031416021513537383,8.546970749025358e-06,2.032174036291913e-06,2.6402209403426073e-06,3.995042434995459e-05,1.0717733244669892e-06,2.0096497611999578e-08,2.8043696553242873e-05,1.779787148742362e-08
27,1952.7,23.218895728858005,3.448190252838682,0.0,0.0,2.9654436174412564,0.4827466353974142,19.770705476019426,2.93992884741816,0.5032999692880904,0.004229736426723473,0.00030406082804990397,1.3902919791956719e-06,-2.3555090311638754e-06,0.0003378095978520881,9.549860360658266e-06,2.50899134803314e-06,2.9337468885057606e-06,4.435743483407994e-05,1.2157687089799666e-06,2.3524424519890038e-08,3.0185186460310706e-05,1.9983819058481753e-08
28,1952.8,23.957629698740906,3.56103908953874,0.0,0.0,3.062493617003307,0.49854547253542264,20.39659060920227,3.035160785978022,0.5205573235367613,0.004536523518780691,0.0003238077433526857,1.4394682392053242e-06,1.0614922909663533e-07,0.00036227262325256194,1.0610268912117417e-05,-9.21238820593452e-08,3.4352495260237754e-06,4.905140431954474e-05,1.3737178294593733e-06,2.7405063051273187e-08,3.240370345121247e-05,2.0895867455281362e-08
29,1952.9,24.689800615337255,3.67373590497728,0.0,0.0,3.1594128782804494,0.5143230266968173,21.016064710360084,3.1302040951121968,0.5378392059271622,0.004853645435008045,0.00034399990149116004,1.4887764598018269e-06,5.323103523680447e-07,0.00038754892453813776,1.1758414421309266e-05,-5.412623702392232e-07,3.8324325107819405e-06,5.403839730255498e-05,1.5464493742618557e-06,3.178151338944683e-08,3.469942782387332e-05,2.294947694811727e-08
30,1953.0,25.415625294297257,3.786376764196231,0.0,0.0,3.2562840172087455,0.5300927469874702,21.6292485301011,3.22514148038985,0.555158956838368,0.00518112001912007,0.0003646279391841261,1.5382508764868231e-06,1.5419075194386592e-07,0.00041363874932960994,1.2989894552179699e-05,-1.400682362183792e-07,4.2040327607218035e-06,5.932430934335899e-05,1.7348079827434294e-06,3.669938584657873e-08,3.707259328835663e-05,2.55496578859128e-08
31,1953.1,26.13532055127652,3.8990579954470577,0.0,0.0,3.3531898760844547,0.5458681193625863,22.23626255582957,3.3200558233568778,0.5725299944452567,0.0055189731405566565,0.00038568336469593334,1.587926066249356e-06,-1.1435628593798562e-06,0.00044054296399463654,1.430785448586959e-05,1.2334103434953591e-06,4.5435608874584965e-06,6.491488108642438e-05,1.9396537177758656e-06,4.220684791464391e-08,3.952348750401072e-05,2.8757581250639005e-08
32,1953.2,26.849103201930227,4.011876190248562,0.0,0.0,3.4502135236137463,0.5616626666347961,22.83722701168178,3.415030181478579,0.5899658147813789,0.005867238740497967,0.00040715854343580706,1.6378369455157409e-06,-9.010951632858646e-07,0.0004682630579239474,1.570101251791783e-05,9.786100610421255e-07,5.007521888995907e-06,7.081571201503297e-05,2.1618615814055376e-06,4.8354669798763275e-08,4.205245261328371e-05,3.1379599052335415e-08
33,1953.3,27.557190061909512,4.124928203330607,0.0,0.0,3.5474382548643044,0.5774899484662824,23.432261858579036,3.510147787984266,0.6074799917857602,0.006225958877909912,0.000429046683818971,1.6880187681209295e-06,-5.091887925168001e-07,0.0004968011477582045,1.7179670233371457e-05,5.658690078863756e-07,5.508706402425566e-06,7.703227394524593e-05,2.402321072741576e-06,5.519626856106978e-08,4.4659885772355814e-05,3.409840082459897e-08
34,1953.4,28.259797946870574,4.238311152676832,0.0,0.0,3.6449475913020555,0.5933635613747541,24.021486794193887,3.605492051797008,0.625086177363483,0.006595183775624864,0.00045134182338498494,1.7385071233410846e-06,1.0597024570774164e-07,0.0005261599815667039,1.87459296756213e-05,-8.284887380262049e-08,6.052607057635913e-06,8.356992426415684e-05,2.6619357871795957e-06,6.27877510006112e-08,4.734623967868328e-05,3.688303804056743e-08
