Timespan, 1950-2100
Scenario, fullstop;2025
Used parameters below
f_MP, 0.14
f_shelf, 0.08
f_ocean, 0.92
M_P_discard, 4214.0
M_MP_discard, 686.0000000000001
M_sMP_discard, 500
M_P_SurfOcean, 0.23
M_MP_SurfOcean, 0.036
M_sMP_SurfOcean, 0.0028
M_MPsMP_DeepOcean, 80
M_sMP_atmo, 0.0036
M_sMP_soil, 29
M_P_beach, 1.32
M_MP_beach, 0.52
M_P_ShelfSed, 50.6
M_MP_ShelfSed, 65.3
M_Incinerated, 800
M_recycled, 750
F_river_tot, 10
F_sMP_oce_to_atm, 8.6
F_sMP_atm_to_oce, 7.6
F_sMP_atm_to_soil, 1.15
F_sMP_DiscInuse_to_atm, 0.183
LB19, 0.03
k_SurfOce_P_to_MP, 0.03
k_SurfOce_MP_to_sMP, 0.03
k_beach_P_to_MP, 0.03
k_beach_MP_to_sMP, 0.03
k_DeepOce_MP_to_sMP, 0.03
CF1, 1
k_Disc_P_to_MP, 0.03
k_Disc_MP_to_sMP, 0.03
k_P_surf_to_deep_oce, 0
k_MP_surf_to_deep_oce, 196
k_sMP_surf_to_deep_oce, 32.5
f_P_river, 0.5
f_MPsMP_river, 0.5
k_P_Disc_to_river, 0.0011865211200759373
k_MP_Disc_to_river, 0.007288629737609328
k_sMP_Disc_to_river, 0.007288629737609328
k_Disc_sMP_to_atm, 0.000366
k_SurfOce_P_beach, 4.004
k_SurfOce_MP_beach, 4.004
k_SurfOce_P_ShelfSed, 1367
k_SurfOce_MP_ShelfSed, 196
k_SurfOce_sMP_ShelfSed, 32.5
k_DeepOce_MP_DeepSed, 0.00123
k_DeepOce_sMP_DeepSed, 0.000203
k_sMP_oce_to_atm, 3071.4285714285716
k_sMP_soil_to_atm, 0.000366
k_sMP_atm_to_oce, 2111.111111111111
k_sMP_atm_to_soil, 319.4444444444444
k_sMP_soil_to_oce, 0.007288629737609328
k_P_beached_to_oce, 0
k_MP_beached_to_oce, 0
###############
Data below
,Year,P_prod_tot,P_waste_tot,P_rec_tot,P_inc_tot,P_disc_tot,MP_disc_tot,P_use,P_disc,MP_disc,sMP_disc,P_SurfOce,MP_SurfOce,sMP_SurfOce,MP_DeepOce,sMP_DeepOce,sMP_atm,sMP_soil,P_beach,MP_beach,sMP_beach,P_ShelfSed,MP_ShelfSed,sMP_ShelfSed,MP_DeepSed,sMP_DeepSed,F_atm_to_soil
20,1952.0,17.845779932678074,2.6459776181021244,0.0,0.0,2.2755407515678323,0.3704368665342985,15.199802314575985,2.2028524620244223,0.42451292194944185,0.01268433363460169,2.296337894456761e-05,1.543240484470375e-05,-1.960589803652235e-06,0.002722041970388682,5.912133256380969e-05,2.5903393078275575e-06,5.991460422519965e-05,9.488434722788323e-05,6.241828800500256e-05,1.2443301569850119e-06,0.0026449665500799563,0.0002416488071966731,3.869400567035979e-07,2.2417788734824854e-06,6.0115878544522025e-09,6.01448985976715e-05
21,1952.1,18.636526113885825,2.762558312546363,0.0,0.0,2.3758001487898803,0.38675816375649213,15.873967801339498,2.2960962625658867,0.44595998812161164,0.013979822134689455,2.3940015302259132e-05,1.6213874556025244e-05,-2.2945796398650412e-06,0.002998431464789014,6.839768911535799e-05,2.996439773616221e-06,6.932999640584667e-05,0.00010397656989895082,6.885514851040695e-05,1.4411600956268387e-06,0.0029014442401123493,0.00026645911772124625,4.478310113580235e-07,2.593452400785745e-06,7.3041197895533596e-09,6.960981266022202e-05
22,1952.2,19.41919153223078,2.8783219011322125,0.0,0.0,2.4753568349737116,0.402965066158511,16.540869631098644,2.3883481256810777,0.4674907558111102,0.015338758995125854,2.4906194794900786e-05,1.6998374538307702e-05,2.073457314805972e-06,0.003288055374753354,7.85662424195926e-05,-1.5658356105419695e-06,7.998285630640443e-05,0.00011342989533076495,7.561353124950403e-05,1.657782566138743e-06,0.0031685444460572824,0.00029249710146594563,5.124939220143226e-07,2.979935616047782e-06,8.794172542293802e-09,8.031977531095158e-05
23,1952.3,20.19399300336283,2.99336260625704,0.0,0.0,2.574291841381066,0.4190707648759872,17.20063039710583,2.4796920451565643,0.48911523564338205,0.016761361624844835,2.5862796341332568e-05,1.778626922184441e-05,1.346447689832043e-06,0.0035909302588175624,8.972496346769865e-05,-7.389917407388839e-07,9.129809048381942e-05,0.00012323923697982506,8.269483115505954e-05,1.895164196001466e-06,0.0034461576179050436,0.0003197677944112075,5.859951902363235e-07,3.402857303904102e-06,1.0500827436135903e-08,9.170043069114477e-05
24,1952.4,20.96114734293906,3.1077749135315544,0.0,0.0,2.6726864256371456,0.4350884878944189,17.85337242940755,2.570211979250359,0.5108436892253045,0.01824787766345807,2.6810698488577476e-05,1.8577932183791738e-05,8.12874888665723e-07,0.003907079267483927,0.00010188736204885157,-1.1401135515512126e-07,0.00010365557501602336,0.00013339987485681712,9.010057182406425e-05,2.1542759893984315e-06,0.003734183815470262,0.0003482768111404788,6.660516653013084e-07,3.863848689620149e-06,1.244404406815962e-08,0.00010413242559314373
25,1952.5,21.720871366609586,3.2216535718044685,0.0,0.0,2.770622071751853,0.4510315000526268,18.499217794805173,2.6599918508238463,0.5326866281082345,0.01979858570920104,2.7750779413112874e-05,1.9373746110328938e-05,-8.045671231777078e-07,0.004236532286999741,0.000115103835123481,1.6594890516735688e-06,0.00011701980240209794,0.00014390745428005184,9.78324098776961e-05,2.4360937197520272e-06,0.004032532704328426,0.00037803035915238124,7.535809379989265e-07,4.364544258749475e-06,1.4644657395957368e-08,0.00011758105845878042
26,1952.6,22.47338189003066,3.3350935931398245,0.0,0.0,2.868180490100263,0.4669131030395769,19.138288296890913,2.749115547432427,0.5546548127487764,0.021413796043251016,2.8683916921933847e-05,2.0174102758836976e-05,-1.3015693427250654e-06,0.0045793260820154325,0.0001294053866494238,2.2511242957918264e-06,0.00013157583231737964,0.0001547579846333863,0.00010589213928958244,2.7415983353005736e-06,0.004341123551773214,0.0004090352531143728,8.478056370453701e-07,4.906582594422547e-06,1.7124382025596404e-08,0.0001322322293713332
27,1952.7,23.218895728857365,3.4481902528796513,0.0,0.0,2.9654436174765193,0.4827466354031529,19.7707054759778,2.8376669214892933,0.5767592514856302,0.023093851350371133,2.9610988454141284e-05,2.0979402920551592e-05,4.995547499683816e-07,0.004935504437115201,0.00014482891273875765,4.158577443831195e-07,0.00014744397524127975,0.00016594783812820193,0.00011428169568221347,3.0717763776065316e-06,0.004659885222782819,0.00044129892905693004,9.484503256709197e-07,5.491607232103042e-06,1.990581384900807e-08,0.00014820712425901112
28,1952.8,23.957629698740483,3.5610390895665374,0.0,0.0,3.062493617027245,0.4985454725393174,20.39659060917406,2.9257297903084165,0.599011199500979,0.024839127435910206,3.0532871081601366e-05,2.1790056382798437e-05,7.739614727461597e-07,0.0053051182972301825,0.0001614395042806097,1.9733848603568238e-07,0.00016442816924790504,0.0001774737485695517,0.00012300316059176856,3.427620412905863e-06,0.004988756175998812,0.00047482945850884175,1.0576790107003115e-06,6.1212675316823446e-06,2.3012432256845413e-08,0.000165310592230469
29,1952.9,24.68980061533648,3.6737359050035403,0.0,0.0,3.159412878303068,0.5143230267004979,21.01606471033308,3.013387936265159,0.6214221578053611,0.026650033939208378,3.145044151035786e-05,2.2606481891905388e-05,1.1915472236267892e-06,0.005688225906946731,0.00017927164725585013,-1.698325823019417e-07,0.0001826804055616815,0.00018933281012661728,0.00013205876570167457,3.8101294762125993e-06,0.005327684459722123,0.0005096355625744328,1.1749802408094305e-06,6.797219566790465e-06,2.6468605908273515e-08,0.00018369557037914165
